Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
9aed6614-1ed3-88de-3dd2-3251b78b677e,2018-08-06,,999-67-5773,,,,Cristie97,Marlo857,Hane680,,,,white,nonhispanic,F,Dedham  Massachusetts  US,113 Jakubowski View,Grafton,Massachusetts,Worcester County,,00000,42.206651934317996,-71.72737873728994,11854.23,0.00,976758
e22c911a-8214-7d8f-c698-fdf0de410206,2017-10-02,,999-59-8498,,,,Brendan864,Renato359,Mraz590,,,,white,nonhispanic,M,Boston  Massachusetts  US,594 Casper Stravenue,Brockton,Massachusetts,Plymouth County,25023,02351,42.10837297067348,-71.04737701339683,16488.13,0.00,36227
ac7c571a-d116-2214-618a-8b55697c6caa,1991-07-08,,999-28-5325,S99969083,X48295038X,Mrs.,Sharron285,Darnell564,Schultz619,,Wolff180,M,white,hispanic,F,Barnstable  Massachusetts  US,414 Friesen Route Apt 99,Chelsea,Massachusetts,Suffolk County,25025,02150,42.45441057713523,-71.04386498211159,95355.49,346012.88,72779
d3b0aa13-8f67-781f-d42b-2995873d29d2,1990-04-11,,999-52-3988,S99939380,X54960425X,Mrs.,Wynona930,Marcela739,Boyer713,,Hilpert278,M,white,nonhispanic,F,Plympton  Massachusetts  US,839 Shields Fort Apt 88,New Bedford,Massachusetts,Bristol County,25005,02745,41.65422621209406,-71.03510762698657,11454.75,691381.63,12732
30d022b7-86cb-9b53-9311-0f4e40a777d8,1994-11-27,,999-66-5380,S99955106,X56233263X,Mr.,Lenny728,Christoper325,O'Connell601,,,S,black,nonhispanic,M,Chicopee  Massachusetts  US,1099 Russel Key Apt 33,Boston,Massachusetts,Suffolk County,25025,02116,42.239638984363424,-71.09860835718436,95631.30,25492.33,143046
b96e3105-772b-c897-74a0-a16656af544c,1973-01-10,,999-63-4583,S99927295,X85531560X,Mrs.,Serina556,Cheri871,Lockman863,,Bailey598,M,white,nonhispanic,F,Easthampton  Massachusetts  US,400 Schmidt Walk,Dracut,Massachusetts,Middlesex County,,00000,42.66148741623147,-71.25890080056185,310332.65,1133233.25,815106
4bc499a4-a3e6-4d66-6044-6cfb27ecd176,1981-09-08,,999-82-5652,S99986614,X88630226X,Mr.,Wendell199,Ezequiel972,Bechtelar572,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,948 Zemlak Key Apt 4,Malden,Massachusetts,Middlesex County,25017,02148,42.437235455476404,-71.1057711455223,143857.63,582189.92,29716
53eca122-ce61-9a47-6256-27a5ff90c304,1921-11-12,2002-03-09,999-73-9855,S99920651,X7988785X,Mr.,Charley358,Jaime666,Bosco882,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,146 McKenzie Manor Apt 23,Boston,Massachusetts,Suffolk County,25017,02467,42.233853282920386,-71.14711577624821,205126.23,258250.73,73969
18608e0a-19b2-8abf-ab4a-4b49c932eeac,1948-05-29,,999-20-7460,S99921180,X32765568X,Mr.,Korey682,,Fisher429,,,S,white,nonhispanic,M,Boston  Massachusetts  US,793 Tremblay Mill Suite 26,Merrimac,Massachusetts,Essex County,,00000,42.83667861182288,-71.06017914728605,655467.30,372281.13,96103
278665ef-17d6-a71b-dbad-9edcc6e0040a,1965-05-18,,999-66-6035,S99931665,X58315325X,Mrs.,Charla27,,Trantow673,,Grant908,M,asian,nonhispanic,F,Ho Chi Minh City  Gia Định  VN,726 Bradtke Mission Apt 48,Westfield,Massachusetts,Hampden County,25013,01086,42.154130699040586,-72.72542461738631,448989.43,1993557.75,162604
7e53e410-1127-339b-3cdc-1f8f3d74f1dc,1921-11-12,1978-06-27,999-49-3295,S99916737,X60044211X,Mr.,Erich201,Hyman89,Zulauf375,,,M,white,nonhispanic,M,Malden  Massachusetts  US,972 Lindgren Boulevard Apt 35,Boston,Massachusetts,Suffolk County,25025,02115,42.33690092776371,-71.03753287767984,586273.97,274236.38,73969
58feee34-5de8-8f14-b476-3e728892b3fb,1921-11-12,,999-93-9755,S99945888,X62131219X,Mr.,Dusty207,Renato359,Wisoky380,,,S,white,nonhispanic,M,Chelsea  Massachusetts  US,363 Howe Overpass,Boston,Massachusetts,Suffolk County,25025,02111,42.28896093632271,-71.05175283570445,857573.26,865966.31,73969
